N,P,K,ph,temperature,humidity,rainfall,crop
171,74,99,7.01,34.29,72.3,264.71,Sugarcane
91,48,31,6.81,18.91,52.44,56.91,Wheat
122,56,53,6.07,36.31,83.74,181.49,Rice
174,67,87,6.46,30.02,77.33,257.67,Sugarcane
107,54,52,6.42,26.04,68.27,138.96,Maize
53,30,46,6.82,13.16,46.27,71.56,Barley
106,82,73,6.92,30.73,62.03,119.03,Cotton
99,58,47,7.01,25.5,65.4,131.86,Maize
68,39,39,6.21,26.24,66.08,84.95,Groundnut
147,59,69,6.41,29.5,63.51,101.39,Cotton
46,43,48,6.7,22.56,52.13,64.63,Barley
84,53,47,6.67,28.77,65.51,134.64,Maize
142,87,87,6.96,34.43,75.85,268.08,Sugarcane
95,43,49,6.79,16.42,49.88,74.29,Wheat
93,48,57,7.05,19.77,42.37,82.56,Wheat
135,64,77,6.82,27.59,67.73,91.53,Cotton
71,34,36,6.94,20.74,49.17,61.01,Barley
94,43,43,7.08,17.76,56.43,73.87,Wheat
154,91,71,7.25,29.94,74.08,243.41,Sugarcane
54,31,42,6.32,27.19,62.27,107.26,Groundnut
102,47,56,6.68,28.11,62.64,149.78,Maize
77,46,60,5.74,29.64,56.96,107.5,Groundnut
125,71,67,6.73,31.15,60.22,156.37,Cotton
72,44,50,6.5,30.32,59.36,135.73,Groundnut
121,68,64,6.27,23.77,86.38,190.16,Rice
141,69,65,6.83,30.43,62.53,130.83,Cotton
126,90,98,6.83,34.76,85.3,244.53,Sugarcane
100,59,67,6.04,28.93,65.66,130.99,Maize
88,56,57,6.39,23.25,47.21,57.29,Wheat
156,74,79,6.77,28.23,81.04,313.86,Sugarcane
106,69,61,6.65,27.69,80.79,235.02,Rice
140,69,57,6.44,33.31,53.62,147.19,Cotton
132,66,68,6.85,29.6,59.79,138.85,Cotton
123,69,58,6.9,28.43,51.75,91.06,Cotton
54,46,47,6.23,27.89,53.26,120.51,Groundnut
108,37,53,6.69,29.55,83.89,219.55,Rice
111,42,63,6.62,25.71,64.5,134.95,Maize
99,44,48,6.5,17.37,58.42,82.69,Wheat
123,67,63,6.97,37.73,67.59,114.88,Cotton
132,59,61,6.54,31.51,76.72,231.69,Rice
162,84,90,7.53,32.18,74.8,243.57,Sugarcane
131,51,58,7.4,32.98,57.38,76.08,Cotton
125,79,95,6.64,33.03,59.34,150.62,Cotton
57,45,49,6.42,17.03,51.62,80.38,Barley
106,56,42,6.78,15.5,54.69,100.82,Wheat
127,70,69,7.1,33.02,59.75,138.98,Cotton
96,48,53,6.21,27.58,61.97,134.25,Maize
66,39,39,6.79,15.15,59.89,105.65,Barley
111,84,70,6.56,34.05,63.87,83.35,Cotton
128,68,77,6.75,34.4,62.2,76.52,Cotton
120,71,46,6.16,26.34,83.09,234.8,Rice
62,44,49,6.29,16.59,62.68,62.84,Barley
92,47,51,6.3,23.26,69.03,137.72,Maize
51,54,43,6.79,19.31,44.9,82.28,Barley
170,74,96,7.42,31.74,78.54,300.62,Sugarcane
57,46,29,6.68,16.22,56.05,39.78,Barley
103,58,58,6.59,28.14,88.12,234.07,Rice
82,54,52,6.68,21.72,65.06,146.86,Maize
96,38,48,7.01,9.2,61.68,87.07,Wheat
111,41,57,6.33,30.15,78.0,189.59,Rice
94,48,68,6.5,25.89,67.76,151.39,Maize
100,62,60,6.27,19.44,64.12,98.06,Maize
151,73,82,7.26,28.99,69.43,223.27,Sugarcane
158,68,90,6.84,25.93,77.9,221.74,Sugarcane
144,63,62,6.83,30.84,60.02,108.04,Cotton
118,51,66,6.46,26.74,75.48,248.89,Rice
96,55,75,6.51,23.44,59.23,165.05,Maize
89,47,54,6.98,13.02,55.44,128.72,Wheat
111,68,78,6.14,29.6,81.37,240.82,Rice
104,76,74,6.9,34.45,63.01,96.07,Cotton
91,62,56,6.43,16.28,61.28,82.84,Wheat
109,56,42,6.19,28.07,63.26,142.36,Maize
122,61,48,6.23,28.89,54.7,138.44,Maize
138,73,102,6.96,28.67,61.85,213.91,Sugarcane
47,44,44,6.49,17.22,55.6,30.52,Barley
67,42,43,6.29,25.24,60.63,83.24,Groundnut
101,57,63,6.76,26.29,66.52,146.62,Maize
165,72,96,6.97,23.63,72.73,248.86,Sugarcane
72,30,37,6.49,29.2,59.03,90.32,Groundnut
106,55,42,6.81,25.43,48.79,90.57,Wheat
76,48,56,6.63,21.45,55.81,97.5,Groundnut
129,62,77,6.84,33.23,59.95,112.52,Cotton
117,70,62,6.46,24.19,86.43,203.36,Rice
78,69,38,7.08,19.29,49.13,77.51,Wheat
138,65,67,6.8,32.07,53.57,105.5,Cotton
55,42,44,7.37,13.82,53.13,79.43,Barley
114,59,56,6.92,28.38,53.53,118.92,Maize
47,39,36,6.72,21.01,48.02,40.95,Barley
72,47,48,7.02,11.79,55.21,90.27,Wheat
137,86,66,6.98,35.34,65.72,97.55,Cotton
165,80,90,7.05,31.61,77.93,265.83,Sugarcane
155,84,84,6.71,27.61,68.9,237.76,Sugarcane
113,62,58,5.73,21.64,81.97,229.15,Rice
115,48,58,6.76,23.42,79.72,222.53,Rice
82,51,55,6.44,21.4,49.67,54.22,Barley
65,25,57,6.7,23.63,51.64,126.56,Groundnut
179,65,105,7.13,28.41,69.4,224.62,Sugarcane
99,56,39,6.66,20.47,55.21,58.53,Wheat
173,80,88,7.16,26.5,76.1,283.92,Sugarcane
147,73,90,6.62,27.38,78.38,241.24,Sugarcane
93,56,50,6.19,24.98,68.49,140.88,Maize
127,79,65,7.4,31.08,54.65,89.27,Cotton
94,51,54,7.16,17.13,50.6,96.56,Wheat
70,44,61,6.79,28.42,61.22,100.37,Groundnut
84,48,40,6.65,14.61,54.37,58.54,Wheat
150,72,97,6.59,31.67,73.43,261.19,Sugarcane
90,41,51,6.28,21.14,55.23,69.58,Wheat
170,89,86,7.21,30.7,77.01,234.55,Sugarcane
164,90,89,6.97,31.16,83.72,259.38,Sugarcane
122,60,47,6.81,26.17,87.52,188.74,Rice
111,69,42,6.21,23.35,69.67,172.78,Maize
70,53,47,5.99,25.9,66.84,107.49,Groundnut
125,69,67,6.6,27.05,88.79,204.54,Rice
157,79,98,6.89,30.62,80.5,255.03,Sugarcane
57,46,37,6.59,17.35,47.46,65.44,Barley
101,55,60,6.45,24.92,91.33,202.68,Rice
104,59,52,6.71,23.23,52.73,154.14,Maize
138,58,57,6.39,27.09,89.0,187.67,Rice
100,51,70,6.43,31.85,62.62,178.24,Maize
133,61,66,6.77,29.01,82.04,239.51,Rice
86,42,45,6.86,19.53,47.05,79.65,Wheat
158,80,76,7.04,29.78,70.75,239.31,Sugarcane
121,57,61,6.0,25.09,91.0,206.86,Rice
113,64,63,6.72,24.4,73.42,237.16,Rice
106,64,71,7.08,26.79,87.46,231.4,Rice
84,58,59,7.13,18.13,51.42,83.83,Wheat
129,61,57,7.04,27.72,90.82,211.98,Rice
116,85,73,7.35,34.6,61.97,103.82,Cotton
61,39,53,5.88,25.43,58.81,112.31,Groundnut
166,71,95,7.61,32.84,77.85,255.39,Sugarcane
133,50,67,6.67,33.49,82.95,234.25,Rice
71,37,67,6.56,15.79,47.17,85.56,Barley
122,60,62,6.43,31.73,85.62,190.84,Rice
143,79,89,6.91,33.84,77.87,252.7,Sugarcane
59,45,33,5.93,26.96,64.8,92.86,Groundnut
74,43,50,6.55,25.33,62.06,88.48,Groundnut
108,56,62,6.66,27.19,69.9,150.34,Maize
168,95,94,7.19,33.79,73.9,230.2,Sugarcane
74,29,41,6.6,25.33,65.61,140.92,Groundnut
114,51,50,6.71,23.94,66.37,140.84,Maize
95,50,52,6.83,16.17,54.77,85.47,Wheat
116,70,58,7.17,33.27,55.39,140.68,Cotton
71,45,42,6.84,16.57,51.5,68.65,Barley
138,58,54,6.61,30.78,65.98,104.39,Cotton
105,60,66,5.89,30.46,89.09,239.08,Rice
111,76,51,6.04,31.47,88.96,232.48,Rice
124,47,63,6.28,25.71,81.2,212.13,Rice
91,37,41,7.42,19.38,51.27,88.36,Wheat
67,49,43,6.01,29.95,64.9,102.11,Groundnut
67,54,46,6.99,16.88,50.07,85.47,Barley
70,42,44,6.12,26.64,57.43,95.1,Groundnut
61,56,38,6.08,33.13,70.89,72.78,Groundnut
83,44,50,6.73,17.18,61.75,110.76,Wheat
59,53,45,6.13,29.11,68.35,98.25,Groundnut
58,37,52,6.79,7.97,42.31,34.14,Barley
61,51,49,7.16,18.07,47.45,78.48,Barley
66,42,40,6.96,14.47,47.3,78.22,Barley
69,52,45,6.38,12.4,47.23,45.82,Barley
77,55,41,7.05,18.05,61.67,102.83,Wheat
135,53,65,6.83,23.87,83.28,242.84,Rice
122,69,47,6.52,29.74,74.7,235.97,Rice
64,51,44,6.24,25.43,56.19,112.61,Groundnut
81,41,40,6.58,10.15,47.89,96.22,Barley
138,69,64,6.33,25.12,83.14,241.77,Rice
132,47,52,5.71,25.65,88.83,211.72,Rice
47,46,47,6.8,16.09,43.86,51.57,Barley
160,89,92,6.4,35.84,65.47,269.16,Sugarcane
59,42,46,6.19,27.72,56.52,106.59,Groundnut
58,63,28,6.71,16.31,48.95,80.51,Barley
135,69,70,6.91,31.6,56.96,118.36,Cotton
161,80,86,7.4,32.97,81.03,234.73,Sugarcane
123,61,71,7.09,34.2,65.76,139.61,Cotton
132,78,71,7.59,34.88,54.3,106.47,Cotton
50,29,43,6.85,16.05,51.17,61.31,Barley
101,54,55,6.52,26.39,65.3,117.92,Maize
88,61,56,6.88,28.06,79.06,219.0,Rice
127,73,64,6.2,33.72,66.71,121.14,Cotton
88,55,49,6.77,25.36,63.38,133.59,Maize
48,57,54,6.75,24.57,62.86,61.9,Groundnut
87,53,51,6.69,16.68,49.42,99.76,Wheat
104,61,51,6.45,14.84,44.57,58.33,Wheat
112,56,52,6.44,32.87,86.62,214.95,Rice
93,52,40,6.49,20.82,52.05,70.1,Wheat
131,72,72,6.87,33.23,61.21,111.95,Cotton
163,78,88,7.5,29.73,73.24,235.26,Sugarcane
127,73,66,6.36,29.22,54.76,77.92,Cotton
80,40,55,6.57,14.92,48.35,67.86,Barley
70,56,42,6.6,16.39,50.11,78.65,Barley
105,52,52,7.1,16.3,59.77,72.46,Wheat
159,71,86,6.67,32.17,74.34,265.51,Sugarcane
85,49,55,6.41,22.85,53.55,123.07,Groundnut
111,55,64,6.9,29.18,79.02,228.89,Rice
98,47,56,6.74,27.89,59.15,142.94,Maize
61,37,38,6.03,30.06,66.5,101.86,Groundnut
52,55,42,5.94,27.16,53.8,109.03,Groundnut
106,50,48,7.01,22.57,63.23,146.12,Maize
123,70,66,6.64,35.41,59.4,99.44,Cotton
166,72,85,7.44,23.79,82.09,220.71,Sugarcane
87,46,55,6.56,25.78,59.45,162.67,Maize
153,85,97,6.84,27.46,75.57,280.07,Sugarcane
119,72,71,6.94,30.25,56.24,106.74,Cotton
69,59,46,6.61,14.7,52.48,93.02,Barley
95,56,73,6.26,26.53,83.59,197.58,Rice
127,69,74,7.14,34.76,68.88,123.24,Cotton
124,68,74,6.53,32.23,58.05,91.98,Cotton
103,45,55,6.85,13.09,50.41,77.0,Wheat
98,69,47,6.32,22.45,68.06,164.06,Maize
124,51,49,5.94,31.34,81.85,250.67,Rice
54,37,49,7.14,19.12,57.29,85.68,Barley
109,67,42,6.39,29.1,64.04,121.79,Maize
146,80,53,6.67,34.83,59.89,109.64,Cotton
139,73,75,7.28,33.08,59.49,88.6,Cotton
85,49,46,7.21,20.81,42.8,59.92,Barley
147,85,68,7.26,30.94,77.49,211.43,Sugarcane
91,49,58,6.78,24.54,67.72,171.64,Maize
101,53,64,6.65,23.79,69.99,135.83,Maize
59,58,48,6.36,27.53,60.54,93.47,Groundnut
146,82,95,7.2,33.3,71.84,266.64,Sugarcane
66,28,40,6.74,22.35,43.95,67.05,Barley
103,65,57,6.57,33.59,74.29,206.01,Rice
88,70,51,6.62,14.56,45.87,87.27,Wheat
116,57,48,6.17,24.67,93.76,238.71,Rice
132,70,65,7.22,36.58,53.56,113.29,Cotton
95,55,56,5.87,27.96,63.55,178.66,Maize
96,49,61,6.29,25.57,58.4,143.71,Maize
80,45,57,6.18,28.77,68.82,113.21,Groundnut
113,66,72,6.66,30.91,61.96,111.45,Cotton
72,27,54,6.04,27.36,56.88,86.16,Groundnut
116,61,65,6.79,28.5,63.31,142.82,Maize
105,58,66,6.34,28.2,70.39,164.31,Maize
54,45,52,6.92,17.09,58.68,112.68,Barley
84,53,45,6.46,17.41,53.5,68.16,Wheat
126,56,53,6.26,27.87,91.71,181.32,Rice
140,72,78,7.15,26.43,72.39,248.22,Sugarcane
70,53,63,5.9,20.07,54.2,63.0,Wheat
122,70,54,6.89,37.1,60.27,94.51,Cotton
83,47,56,6.23,23.33,57.42,79.15,Wheat
43,67,45,6.33,25.37,57.01,77.63,Groundnut
110,53,59,6.19,30.05,92.44,208.4,Rice
110,61,78,7.11,29.45,54.83,60.99,Cotton
54,37,45,6.75,18.02,49.51,31.66,Barley
119,57,60,6.15,28.07,70.45,145.07,Maize
68,46,55,6.34,13.85,59.72,73.83,Barley
75,61,38,6.36,30.05,54.29,108.61,Groundnut
167,76,111,7.18,32.13,71.86,275.29,Sugarcane
96,51,42,6.57,25.72,62.81,119.96,Maize
86,50,44,7.3,17.64,50.39,65.68,Wheat
54,46,39,6.72,12.1,45.55,111.97,Barley
119,72,54,6.22,29.43,82.11,223.05,Rice
117,49,64,6.15,34.55,87.85,208.39,Rice
121,87,59,7.17,31.21,62.31,120.16,Cotton
63,42,36,6.97,30.7,50.12,61.56,Groundnut
159,77,82,6.9,28.78,77.48,267.05,Sugarcane
142,81,83,7.5,29.46,69.76,245.69,Sugarcane
163,85,96,7.11,30.08,60.46,236.87,Sugarcane
70,43,40,6.4,18.74,50.5,103.61,Barley
141,72,67,7.07,30.0,58.5,95.15,Cotton
72,56,46,6.34,27.57,59.31,93.7,Groundnut
144,72,88,7.02,32.65,65.66,248.97,Sugarcane
164,77,84,7.65,31.15,70.41,267.11,Sugarcane
55,57,55,6.63,12.21,46.06,79.02,Barley
101,56,68,6.3,25.46,89.63,213.38,Rice
125,60,64,6.12,28.51,77.93,217.78,Rice
114,63,73,6.89,22.23,87.89,216.44,Rice
76,56,36,6.37,25.35,61.65,93.95,Groundnut
120,79,53,7.3,33.65,56.89,127.29,Cotton
134,69,69,7.21,32.88,63.23,96.15,Cotton
126,55,62,6.49,27.3,81.08,206.19,Rice
126,78,48,6.78,31.44,80.13,240.14,Rice
93,65,50,6.98,15.07,58.84,69.47,Wheat
167,80,88,6.94,27.24,79.09,219.3,Sugarcane
112,54,64,6.0,21.84,66.02,149.54,Maize
139,69,70,7.09,31.78,55.91,108.74,Cotton
51,62,39,6.45,29.8,70.87,88.97,Groundnut
165,78,96,7.12,25.89,73.22,267.94,Sugarcane
97,55,40,6.08,29.86,59.67,165.16,Maize
168,86,105,7.32,35.12,75.31,277.99,Sugarcane
109,45,57,6.41,33.03,86.63,215.62,Rice
134,64,53,6.12,30.02,83.77,181.48,Rice
63,58,48,6.65,17.82,48.83,69.15,Barley
104,51,53,5.93,27.48,57.76,142.37,Maize
75,54,53,6.65,24.43,61.14,139.84,Maize
86,46,51,6.81,15.83,44.12,60.14,Wheat
177,89,91,7.1,28.18,76.96,245.82,Sugarcane
121,50,57,6.41,28.81,79.43,243.94,Rice
160,83,85,6.94,30.44,72.09,198.72,Sugarcane
179,79,92,7.33,31.54,79.22,233.64,Sugarcane
71,53,40,6.51,18.0,54.52,51.76,Wheat
124,67,72,6.79,29.84,52.48,110.97,Cotton
76,54,45,6.77,16.65,45.43,52.59,Barley
110,45,51,6.34,27.07,68.86,110.39,Maize
127,71,69,6.98,25.69,62.53,111.24,Cotton
142,70,94,7.29,25.61,79.37,249.72,Sugarcane
132,87,78,6.91,33.89,58.7,104.58,Cotton
131,47,55,6.51,32.7,84.67,208.9,Rice
126,62,71,6.75,31.33,53.68,114.34,Cotton
99,51,60,6.87,13.55,62.26,61.05,Wheat
59,66,35,7.09,11.33,52.16,71.96,Barley
98,52,54,6.47,23.68,59.26,150.03,Maize
68,35,51,7.37,17.64,39.85,61.46,Barley
74,38,57,6.42,27.35,61.93,102.5,Groundnut
140,62,63,7.4,28.37,62.39,74.45,Cotton
162,77,103,7.35,32.97,76.39,270.0,Sugarcane
129,81,58,6.72,34.13,66.47,122.18,Cotton
152,77,86,7.32,23.3,71.14,265.91,Sugarcane
108,52,62,6.58,23.35,65.29,166.17,Maize
62,32,41,6.54,14.38,44.74,46.02,Barley
162,83,81,6.64,32.18,67.37,234.58,Sugarcane
107,62,56,6.27,27.14,68.62,100.56,Maize
132,71,74,7.04,28.13,53.64,67.82,Cotton
61,49,51,5.74,27.98,57.75,53.54,Groundnut
84,48,59,6.3,29.62,76.73,153.13,Maize
56,34,38,6.06,27.01,58.02,113.97,Groundnut
113,71,78,6.88,27.56,60.55,94.88,Cotton
150,70,70,6.96,25.79,75.49,239.81,Sugarcane
83,56,40,6.16,21.91,64.98,123.89,Groundnut
86,46,64,7.02,26.27,65.72,155.53,Maize
53,44,40,6.21,17.67,54.93,88.09,Barley
62,45,54,6.4,29.12,72.66,116.42,Groundnut
135,59,51,5.77,23.58,78.13,247.57,Rice
98,43,66,6.3,28.96,65.88,114.13,Maize
122,71,60,6.67,29.24,62.08,128.6,Maize
105,61,60,6.46,25.9,68.89,155.52,Maize
79,60,37,6.51,29.22,64.84,116.94,Groundnut
78,60,41,6.27,27.67,61.62,117.32,Groundnut
73,44,37,5.88,13.5,48.84,32.02,Barley
157,73,80,7.32,32.77,71.84,245.07,Sugarcane
158,75,87,7.21,34.38,74.15,232.74,Sugarcane
141,51,76,7.49,30.13,56.33,135.73,Cotton
123,89,66,6.69,34.12,60.98,93.63,Cotton
91,56,43,7.01,19.96,63.23,121.37,Maize
68,51,36,6.89,19.16,60.95,71.42,Barley
142,73,70,6.84,35.52,65.61,122.99,Cotton
77,57,45,6.99,28.01,59.64,122.2,Groundnut
61,55,51,6.49,15.75,53.3,76.1,Barley
57,47,56,6.01,20.54,62.65,81.16,Groundnut
160,81,105,7.27,29.37,74.51,235.73,Sugarcane
114,60,62,6.1,30.17,85.43,185.69,Rice
90,46,50,6.84,15.13,53.01,81.55,Wheat
143,75,65,6.78,33.14,57.14,109.35,Cotton
172,80,93,6.99,32.71,82.13,265.36,Sugarcane
99,44,50,6.83,26.3,69.46,169.39,Maize
159,84,111,7.46,30.4,77.6,212.05,Sugarcane
101,53,38,6.35,28.69,57.47,118.2,Maize
152,72,76,6.72,34.93,61.67,102.42,Cotton
166,85,87,7.21,28.66,81.58,242.82,Sugarcane
92,55,55,6.52,18.58,62.3,75.85,Wheat
89,56,45,6.67,14.06,56.21,86.51,Wheat
120,60,54,6.2,23.79,93.75,195.12,Rice
157,79,98,6.95,26.18,70.11,245.34,Sugarcane
114,68,72,6.9,34.55,52.51,89.88,Cotton
162,76,98,6.92,25.21,79.7,276.48,Sugarcane
120,52,63,6.46,26.2,85.35,212.29,Rice
79,49,46,7.12,16.43,54.79,90.14,Wheat
63,52,44,5.94,24.24,64.42,58.44,Groundnut
85,58,57,7.27,12.22,47.38,51.77,Barley
164,75,81,7.46,29.47,70.49,272.78,Sugarcane
168,72,99,6.96,28.4,80.65,237.5,Sugarcane
69,27,40,6.61,20.7,49.88,88.26,Barley
171,78,84,6.62,31.09,74.44,241.32,Sugarcane
89,58,52,6.46,24.77,68.6,144.58,Maize
98,56,52,6.92,14.73,51.24,97.91,Wheat
84,53,51,6.36,19.38,49.5,98.78,Wheat
56,50,47,6.74,18.15,45.79,86.8,Barley
74,54,46,6.25,23.59,52.46,77.06,Groundnut
175,77,82,7.38,31.13,73.18,250.64,Sugarcane
86,42,45,6.77,14.46,47.99,89.87,Barley
80,48,56,6.61,13.71,46.49,60.76,Barley
55,61,55,6.13,33.26,53.18,93.41,Groundnut
64,42,48,6.8,12.81,49.45,95.4,Barley
103,48,60,6.58,24.98,61.44,136.3,Maize
77,47,42,6.22,25.14,68.62,145.24,Groundnut
142,76,73,7.34,28.07,56.58,93.58,Cotton
107,55,62,6.04,23.52,74.38,234.42,Rice
118,72,66,6.61,33.46,64.24,105.09,Cotton
74,43,53,6.29,31.69,61.29,109.86,Groundnut
89,46,49,6.33,22.6,61.34,153.19,Maize
111,43,61,6.64,27.63,82.71,216.81,Rice
124,76,51,6.29,29.25,84.73,200.35,Rice
99,63,57,6.38,26.26,67.36,142.78,Maize
150,80,86,6.67,35.31,53.18,78.16,Cotton
82,51,61,7.12,20.72,53.44,73.45,Wheat
112,59,51,6.23,24.41,94.82,220.71,Rice
95,50,62,6.21,30.84,64.24,197.24,Maize
105,48,67,6.5,24.79,67.93,158.79,Maize
51,29,36,6.05,16.28,47.7,62.35,Barley
80,46,54,6.65,26.55,67.8,118.41,Maize
125,54,52,6.34,27.13,66.93,159.01,Maize
106,65,55,6.92,33.98,81.17,209.01,Rice
111,53,46,6.8,21.9,74.74,140.56,Maize
66,54,37,6.68,23.65,53.19,124.36,Groundnut
118,54,62,6.48,27.48,53.39,132.3,Maize
174,75,81,6.92,25.96,75.39,247.21,Sugarcane
74,38,59,6.41,17.35,45.62,65.25,Barley
52,44,35,6.8,17.36,55.95,65.81,Barley
159,76,82,7.43,36.14,66.43,231.52,Sugarcane
45,59,47,6.56,14.53,50.73,90.82,Barley
89,66,49,6.6,22.19,64.39,137.78,Maize
76,40,52,6.39,29.16,73.75,83.63,Groundnut
95,47,62,6.26,28.43,61.2,146.98,Maize
94,60,58,6.64,26.1,66.92,137.61,Maize
131,68,64,6.51,33.28,85.0,196.36,Rice
57,55,52,6.66,26.54,60.54,69.85,Groundnut
60,61,46,6.04,30.26,63.67,64.47,Groundnut
140,64,76,7.26,33.86,61.49,131.97,Cotton
63,42,53,6.32,16.25,46.36,65.24,Barley
64,50,42,6.46,19.78,56.63,57.13,Barley
70,39,62,6.37,24.91,58.7,126.73,Groundnut
164,75,92,7.15,28.72,68.02,229.42,Sugarcane
107,52,49,6.8,32.65,86.6,244.43,Rice
72,55,59,6.0,33.67,61.97,89.98,Groundnut
124,69,51,6.6,31.58,76.11,226.39,Rice
163,72,83,7.22,32.22,71.01,238.81,Sugarcane
76,55,46,6.44,25.61,56.06,78.79,Groundnut
136,62,87,6.58,35.0,67.6,112.2,Cotton
166,86,79,6.67,30.87,84.7,267.68,Sugarcane
113,53,63,6.52,21.41,64.96,127.62,Maize
129,69,56,7.6,32.7,62.19,103.2,Cotton
78,50,49,6.23,26.15,64.25,81.49,Groundnut
160,69,75,7.23,29.41,83.06,242.95,Sugarcane
85,56,57,6.54,20.99,52.98,104.23,Wheat
52,43,47,6.75,14.68,53.34,74.61,Barley
149,84,86,6.85,29.29,73.22,246.27,Sugarcane
75,60,50,6.74,19.29,56.18,95.34,Wheat
71,42,31,7.42,14.21,63.35,60.6,Barley
124,76,75,6.51,36.54,66.53,84.33,Cotton
99,47,43,6.41,23.19,61.54,180.12,Maize
99,53,45,7.2,13.93,54.54,99.34,Wheat
75,53,50,6.91,26.95,60.2,98.3,Groundnut
112,68,56,5.95,21.85,91.3,232.33,Rice
84,44,35,6.97,13.14,51.25,91.76,Wheat
47,33,35,6.67,16.25,49.16,77.17,Barley
131,58,54,6.69,31.55,79.18,195.92,Rice
157,83,85,7.13,33.59,74.19,232.51,Sugarcane
52,50,36,7.21,15.23,47.93,87.84,Barley
107,53,62,6.54,29.65,57.39,133.02,Maize
85,53,43,6.67,32.09,50.27,97.96,Groundnut
93,45,51,6.43,24.7,65.28,138.43,Maize
101,32,50,6.92,28.95,62.45,131.33,Maize
117,60,77,7.35,27.39,67.9,87.47,Cotton
162,68,106,7.36,25.76,82.72,251.22,Sugarcane
129,65,86,7.14,36.12,53.95,120.42,Cotton
109,65,64,7.09,25.73,65.89,146.41,Maize
72,29,40,6.52,27.61,60.67,122.24,Groundnut
65,42,42,6.78,21.53,62.54,83.5,Groundnut
94,36,46,6.69,15.69,53.26,100.65,Wheat
119,58,52,6.23,30.27,87.5,200.45,Rice
88,50,58,6.77,18.05,52.0,88.61,Wheat
54,33,44,6.7,15.22,49.44,97.27,Barley
150,88,86,7.54,30.73,82.03,246.0,Sugarcane
76,60,61,6.19,27.56,55.45,67.43,Groundnut
154,84,76,7.13,31.27,66.32,221.65,Sugarcane
163,76,78,7.1,35.42,76.12,272.26,Sugarcane
63,46,49,6.29,25.13,54.74,108.38,Groundnut
65,63,40,6.46,30.44,65.36,82.0,Groundnut
97,42,61,6.61,29.26,63.26,162.68,Maize
116,79,55,6.94,31.01,52.42,68.8,Cotton
108,65,57,6.18,25.19,59.98,173.94,Maize
54,28,32,6.71,16.13,52.59,104.31,Barley
91,51,58,6.67,27.74,57.06,139.87,Maize
116,37,49,6.85,24.89,72.98,109.76,Maize
151,73,88,6.95,27.2,84.02,259.16,Sugarcane
101,48,49,7.13,22.99,61.51,58.67,Wheat
88,68,38,7.19,19.97,52.6,112.59,Wheat
77,49,57,6.34,28.91,57.21,153.54,Maize
162,81,92,7.34,29.75,77.74,214.02,Sugarcane
159,82,80,7.12,34.3,74.17,259.89,Sugarcane
135,55,56,6.32,23.97,80.41,199.92,Rice
95,47,65,7.02,21.74,52.08,101.16,Wheat
67,54,42,6.66,11.92,47.69,63.41,Barley
62,68,31,6.79,15.88,54.27,73.97,Barley
99,50,46,6.75,12.76,54.09,93.77,Wheat
164,80,89,7.27,33.32,77.66,274.7,Sugarcane
97,49,63,6.52,22.99,69.2,120.83,Maize
79,42,62,6.83,15.55,48.43,68.7,Barley
101,44,51,6.23,20.11,64.77,55.11,Wheat
133,70,65,6.59,33.09,86.66,232.92,Rice
106,58,57,6.04,26.34,65.5,128.48,Maize
160,75,99,6.91,34.53,75.66,215.09,Sugarcane
92,55,60,6.77,24.3,46.2,88.39,Wheat
87,53,71,6.35,23.98,65.85,130.63,Maize
93,44,45,7.12,18.44,51.49,80.35,Wheat
52,54,33,6.18,25.29,61.8,86.68,Groundnut
102,48,46,6.81,26.39,68.38,86.84,Maize
136,56,58,6.23,24.96,81.75,195.52,Rice
94,54,60,7.36,18.37,60.5,72.97,Wheat
130,54,62,6.25,28.55,89.46,195.46,Rice
93,49,49,7.04,23.01,56.26,93.1,Wheat
85,71,57,6.38,25.11,62.45,130.82,Maize
85,52,62,6.58,22.39,75.76,152.99,Maize
134,65,59,6.48,24.62,97.23,222.58,Rice
105,62,56,6.65,16.16,50.94,98.98,Wheat
50,43,56,6.48,26.52,65.35,112.17,Groundnut
80,53,45,6.17,23.19,50.24,118.66,Groundnut
168,77,90,7.28,30.87,75.73,233.52,Sugarcane
73,45,57,6.04,28.17,63.41,97.84,Groundnut
88,69,47,6.98,12.21,57.16,102.84,Wheat
99,61,60,6.38,30.97,88.74,225.96,Rice
83,48,60,7.06,18.68,50.55,60.78,Wheat
152,86,77,7.3,31.02,75.37,254.93,Sugarcane
70,50,49,6.48,15.8,44.02,81.53,Barley
118,61,62,6.57,28.71,78.95,201.23,Rice
156,76,59,7.04,31.84,53.29,81.57,Cotton
89,61,51,7.14,15.27,53.97,109.69,Wheat
108,61,47,6.41,23.73,87.31,201.51,Rice
160,81,80,7.03,24.62,74.31,276.4,Sugarcane
53,32,30,6.74,18.8,42.86,57.04,Barley
82,52,58,5.81,24.07,61.49,83.51,Groundnut
110,50,60,6.49,29.57,58.59,117.91,Maize
91,57,40,7.18,13.32,65.59,71.77,Wheat
49,50,44,6.63,27.71,58.76,130.38,Groundnut
151,93,96,6.61,31.41,70.84,208.07,Sugarcane
106,40,60,6.43,25.44,53.18,169.87,Maize
130,61,72,6.47,28.87,56.45,120.8,Cotton
121,51,53,6.43,31.31,83.72,215.28,Rice
66,46,58,6.47,25.31,57.94,101.71,Groundnut
148,61,71,7.11,31.15,62.08,79.91,Cotton
