N,P,K,ph,moisture,fertility
110,69,69,7.57,72.27,Medium
99,38,50,5.56,54.32,High
119,124,22,5.74,54.03,Low
66,5,145,6.9,19.97,Low
10,134,157,5.45,12.77,Low
72,65,12,6.84,59.1,High
64,92,78,6.05,18.19,Medium
124,72,164,4.64,18.89,Low
62,131,149,6.11,23.13,Low
66,144,106,8.18,16.84,Low
126,26,83,5.67,53.78,Medium
44,86,83,5.79,39.54,High
72,133,125,4.76,28.63,Low
34,34,180,6.96,40.85,Medium
99,130,67,7.9,69.09,Medium
84,101,44,5.91,74.9,High
47,28,88,5.46,44.12,Medium
139,18,19,8.33,49.67,Low
100,40,103,7.48,28.0,High
26,28,138,6.77,45.95,Low
137,99,125,5.72,62.37,Low
117,59,67,5.38,44.45,Medium
34,28,140,7.36,31.15,Low
97,30,132,6.59,50.74,High
38,84,116,6.58,76.27,High
72,69,115,4.79,72.16,High
123,79,36,6.55,63.85,High
58,47,49,7.79,29.33,Medium
90,33,126,8.29,26.91,Low
93,85,184,4.93,68.7,Medium
114,58,86,7.02,22.69,Medium
127,43,17,6.77,52.39,Medium
95,46,28,8.06,40.73,Medium
72,33,172,7.5,42.76,High
113,135,18,8.36,41.82,Low
58,142,74,8.34,73.0,Medium
80,46,66,5.4,16.1,Medium
10,98,124,7.4,64.8,Low
132,36,93,6.62,68.45,High
71,30,193,5.36,76.0,Medium
41,119,5,5.28,41.68,Low
38,133,198,4.82,45.0,Low
58,60,130,7.68,77.29,Medium
39,126,36,5.8,42.09,Medium
28,110,145,7.93,45.25,Low
27,134,165,6.93,33.26,Low
10,85,36,7.19,12.21,Medium
87,124,60,5.67,40.31,High
124,56,156,6.33,55.86,Medium
122,95,95,6.15,58.3,Medium
123,141,8,5.44,10.46,Low
72,26,27,7.83,66.07,Low
138,38,33,6.99,44.47,High
17,114,102,4.65,46.45,Low
64,53,153,7.78,77.32,Medium
112,133,34,4.92,29.91,Low
41,77,94,6.11,63.32,High
19,88,152,6.79,50.23,Medium
119,57,148,4.53,59.06,Low
133,104,71,7.11,39.25,Medium
96,128,181,7.14,29.54,Low
64,49,105,7.11,48.23,High
41,141,62,5.15,36.25,Medium
102,109,176,5.52,25.6,Low
17,110,29,5.49,68.75,Low
74,47,27,8.34,43.31,Medium
66,138,191,4.77,69.31,Low
76,52,133,6.22,43.18,High
81,130,101,7.99,48.98,Medium
63,11,147,7.58,79.67,Low
76,20,132,7.79,76.61,Low
60,133,85,8.39,29.02,Low
106,119,184,6.05,70.81,Low
101,41,190,5.74,37.33,Medium
17,129,173,4.62,14.99,Low
44,85,176,5.1,50.3,Medium
105,66,8,6.75,78.39,Medium
97,76,200,5.13,78.2,Medium
87,129,139,7.45,18.85,Low
41,70,50,4.65,63.99,High
129,34,13,5.54,66.2,Medium
55,24,165,7.28,35.81,Medium
64,86,37,5.52,56.1,High
16,111,88,7.42,44.17,Medium
83,136,136,8.48,25.95,Low
16,41,69,7.69,63.29,Medium
94,136,110,5.87,28.39,Medium
121,81,38,8.1,33.83,Medium
134,93,89,4.7,23.3,Low
45,92,92,7.4,60.35,High
38,37,196,4.59,42.11,Low
91,62,157,5.2,41.04,Medium
11,32,59,8.45,52.32,Medium
138,39,141,5.94,21.01,Low
56,129,21,7.78,72.87,Low
20,142,153,6.0,42.56,Low
139,69,192,7.86,35.66,Low
128,46,145,8.36,18.87,Low
29,89,135,6.24,21.76,Low
14,141,200,6.74,74.43,Low
46,115,8,7.01,41.96,Medium
62,19,11,8.24,60.55,Low
108,73,30,5.53,15.64,Medium
95,109,28,6.94,55.04,Medium
117,68,14,5.8,74.51,Medium
33,45,17,5.37,31.0,Low
90,75,129,4.84,50.54,Medium
129,60,176,6.98,75.82,Medium
68,29,43,8.03,60.35,Medium
137,109,151,5.91,14.36,Low
123,138,183,6.71,36.51,Low
124,123,23,7.07,16.0,Low
23,13,80,6.16,70.29,Medium
18,64,56,8.11,53.52,Medium
49,129,179,5.95,76.95,Medium
34,53,124,5.0,11.38,Low
112,55,162,5.08,39.62,Low
31,74,50,8.06,17.31,Low
13,41,153,8.45,34.53,Low
38,35,79,5.66,21.33,Medium
118,66,128,5.07,33.02,Low
107,97,52,6.43,67.35,Medium
46,18,66,7.34,21.25,Medium
84,83,62,6.95,43.16,High
79,12,22,8.3,74.51,Low
137,40,112,7.77,79.91,Medium
94,52,191,7.98,27.54,Low
51,89,52,6.67,75.49,High
109,32,67,5.81,28.3,Medium
50,55,16,7.31,38.95,High
43,108,38,6.26,71.45,High
26,105,193,5.65,65.03,Low
131,33,106,5.11,70.02,Medium
85,131,91,6.61,66.02,High
96,86,185,6.88,26.45,Medium
126,14,29,6.78,49.12,Low
115,110,194,4.97,36.97,Low
95,5,136,6.78,42.18,Medium
36,43,145,5.17,20.78,Low
66,25,174,7.15,32.1,Medium
40,69,53,6.22,70.04,High
107,19,82,7.9,72.83,Low
21,136,188,7.61,52.71,Low
62,65,179,7.4,44.88,High
131,142,140,7.3,59.9,Low
55,91,59,6.74,52.62,High
73,109,22,4.74,78.86,Low
139,38,39,7.12,23.31,Medium
63,128,164,6.37,41.43,Medium
116,114,156,6.38,74.28,Low
60,37,11,6.02,74.03,High
45,102,17,8.22,44.67,Low
124,65,130,5.5,19.44,Low
35,14,116,5.77,67.05,Medium
38,88,73,8.35,50.96,Medium
20,69,104,7.74,64.12,Medium
49,81,94,4.56,42.38,High
20,5,46,8.12,24.27,Low
122,137,113,5.41,11.68,Low
48,84,163,7.32,49.14,High
63,19,114,6.71,21.27,Medium
107,32,30,6.65,23.1,Medium
64,27,80,7.37,40.54,High
120,113,36,5.33,40.95,Low
78,111,95,5.14,29.21,Low
65,117,129,7.11,19.23,Low
42,102,130,5.66,76.15,Medium
45,143,56,8.4,19.21,Low
90,32,152,6.31,34.55,High
118,46,107,4.95,31.34,Medium
82,103,109,7.24,70.64,High
49,65,172,5.72,38.7,High
26,127,191,5.09,18.68,Low
138,68,18,6.19,10.72,Low
70,35,176,8.36,60.54,Medium
113,85,108,6.15,60.02,High
51,14,121,5.89,39.24,Medium
34,12,52,6.28,18.84,Low
48,63,97,4.55,36.01,High
44,34,175,5.03,51.29,Medium
117,24,148,7.9,59.28,Low
111,52,114,8.41,15.48,Low
107,134,167,5.13,48.94,Low
21,41,57,6.64,29.33,Medium
28,133,166,8.37,53.21,Low
110,136,7,5.13,55.37,Low
53,104,72,5.25,73.74,Medium
58,58,137,8.21,38.73,Medium
26,126,142,7.32,47.63,Low
83,29,56,5.11,28.78,Low
66,135,161,6.07,30.06,Medium
64,13,100,4.73,13.22,Low
56,38,35,6.23,30.02,High
21,47,70,7.61,14.47,Low
71,78,95,6.72,77.47,High
89,98,73,7.09,53.7,High
92,26,169,5.81,22.12,Low
17,74,159,5.15,18.17,Low
90,134,91,4.55,35.91,Medium
127,98,37,7.79,31.54,Low
34,36,72,7.05,29.55,Medium
98,110,191,5.42,42.77,Low
21,5,196,6.17,73.9,Low
68,76,92,7.71,49.76,High
118,54,176,6.65,46.49,Medium
35,19,99,5.7,66.46,Medium
56,57,112,5.57,10.28,High
41,12,181,5.37,23.82,Low
19,78,57,7.79,44.73,Medium
25,50,78,6.83,59.37,High
35,73,53,7.34,43.95,High
95,118,117,7.94,21.46,Low
23,127,118,8.45,75.1,Low
88,143,198,5.5,33.01,Medium
126,121,99,5.22,65.18,Low
16,47,195,6.35,72.4,Medium
124,24,29,4.64,34.25,Low
81,25,136,7.67,69.17,Low
68,86,183,8.04,59.75,Medium
91,61,143,7.24,73.3,High
125,78,149,5.57,27.59,Low
112,102,112,4.99,75.19,Low
26,114,198,6.03,14.57,Low
23,119,202,7.83,65.56,Low
117,46,73,5.89,40.5,High
54,72,88,4.64,22.45,Medium
107,74,161,5.6,15.56,Low
46,82,89,8.46,37.27,High
117,94,123,7.21,37.25,Low
48,115,76,8.1,26.1,Low
24,116,24,7.6,25.09,Low
129,107,31,6.66,37.97,Medium
13,23,12,5.09,38.71,Low
102,74,89,5.89,40.97,High
25,67,65,6.83,70.81,High
117,79,160,7.98,52.79,Low
135,108,202,5.57,11.43,Low
64,79,7,4.98,46.34,Medium
43,132,201,6.74,63.37,Medium
22,60,11,5.21,13.95,Low
27,26,192,6.94,39.58,Low
105,93,8,5.55,41.58,Low
132,23,137,5.42,76.78,Low
48,30,143,6.1,43.3,High
55,27,129,6.87,62.49,Medium
38,51,19,6.68,31.2,Medium
71,17,196,5.48,64.55,Low
25,70,17,8.06,32.59,Low
130,77,122,4.94,40.1,Low
19,81,11,4.66,43.56,Low
112,35,108,6.91,74.85,High
93,89,10,4.99,13.74,Low
74,63,188,6.52,23.78,Medium
12,45,68,8.31,59.4,Medium
129,116,182,7.29,50.43,Low
77,100,34,6.97,27.61,Medium
46,126,26,6.8,30.24,Medium
82,109,157,5.22,35.71,Low
58,78,160,6.23,41.52,High
130,136,122,5.87,67.26,Low
97,103,88,8.31,10.97,Low
46,130,171,5.47,72.86,Low
70,142,199,6.39,38.91,Medium
133,79,137,8.25,26.13,Low
48,18,197,7.66,45.59,Low
72,42,147,8.36,56.18,Medium
55,144,94,6.93,13.13,Medium
97,49,199,5.84,60.1,High
20,79,172,7.81,63.25,Low
71,33,125,5.67,21.63,Medium
86,22,110,5.16,21.75,Low
61,24,73,7.33,24.26,Medium
13,18,99,7.06,65.76,Medium
68,58,81,8.02,29.04,Medium
81,35,175,8.35,65.72,Medium
102,62,5,7.93,47.84,Low
72,108,154,4.74,63.7,Low
63,132,66,7.16,48.76,High
126,29,158,7.64,33.5,Low
119,23,22,8.43,73.75,Low
83,140,52,6.0,60.07,High
116,7,141,5.18,43.88,Low
66,90,5,7.91,54.62,Medium
12,13,141,5.77,53.11,Low
129,98,155,6.89,35.07,Low
15,143,111,6.06,39.66,Medium
14,24,177,6.11,32.28,Low
14,39,134,7.43,79.97,Medium
63,57,146,5.95,50.6,High
56,114,42,7.27,16.44,Medium
18,140,44,4.56,46.34,Low
108,8,195,5.8,13.5,Low
29,106,86,5.78,30.21,Medium
131,51,20,7.5,41.22,Medium
70,98,131,5.76,47.4,Medium
132,52,121,7.03,78.33,Medium
91,95,97,7.25,78.76,High
71,88,138,7.13,16.86,Medium
12,72,7,6.91,47.67,Medium
22,143,18,6.15,67.2,Low
129,129,70,5.99,26.64,Low
134,77,99,6.76,62.54,High
98,8,90,4.75,71.5,Medium
82,80,199,8.0,56.37,Medium
77,77,118,7.8,32.94,High
110,81,163,5.89,74.62,Medium
107,52,165,6.77,71.85,Medium
20,106,133,8.23,60.11,Low
114,110,176,5.59,35.46,Low
76,81,19,7.47,65.43,High
132,43,41,4.83,32.13,Medium
38,62,159,6.59,27.71,Low
85,23,180,8.04,46.05,Low
18,92,31,6.71,79.8,Medium
49,117,16,6.97,66.3,Medium
34,81,71,8.13,61.09,Medium
14,81,34,7.36,41.64,High
133,32,100,7.28,31.84,High
47,70,198,6.85,69.91,High
81,14,139,7.03,49.74,Medium
99,130,38,7.71,66.93,Medium
46,62,36,8.42,44.14,High
69,129,121,7.68,62.78,Low
37,116,43,7.33,70.74,Medium
90,88,100,5.04,37.4,High
123,100,175,7.77,10.95,Low
49,37,175,7.44,27.84,Medium
54,51,135,7.58,74.04,Medium
71,116,178,5.42,58.13,Low
102,47,164,8.11,61.61,Low
124,12,47,4.89,32.77,Low
76,7,85,5.51,59.09,High
65,129,7,7.15,55.24,Medium
49,16,78,7.19,22.49,Medium
107,88,121,5.75,77.81,Medium
49,20,67,7.31,34.78,High
100,82,115,6.05,33.05,High
42,63,44,4.5,35.84,High
15,67,22,5.15,16.42,Low
89,53,71,8.03,53.75,High
101,55,107,5.39,26.7,Low
106,37,194,4.95,66.23,Low
68,34,142,7.23,37.59,High
68,80,184,6.26,42.1,High
57,19,50,7.69,55.25,Medium
22,86,59,7.95,63.33,Medium
116,96,178,7.88,26.18,Low
54,27,79,5.75,77.64,High
98,98,192,6.52,53.56,Medium
109,49,101,7.1,10.39,Medium
16,66,30,5.79,39.09,High
54,19,159,4.66,40.58,Low
67,50,170,6.48,66.64,High
40,68,26,4.55,31.36,Medium
32,79,30,8.3,33.19,Medium
116,56,201,7.69,14.93,Low
48,92,167,5.27,29.85,Low
91,61,198,5.65,60.19,High
109,87,77,8.43,54.43,Medium
11,70,119,5.99,15.7,Medium
86,24,55,7.63,18.03,Low
21,37,117,6.29,36.38,High
48,76,150,7.96,62.06,Medium
22,29,175,7.32,68.3,Low
55,50,16,4.59,11.02,Low
122,77,7,5.68,33.03,Medium
26,102,124,6.73,39.7,Low
113,61,139,8.2,73.78,Low
107,91,138,4.91,45.1,Low
97,137,86,6.9,28.88,Medium
118,59,49,5.71,37.3,High
79,65,131,8.06,40.55,Medium
83,93,90,7.56,56.9,Medium
72,12,119,5.98,12.88,Medium
69,20,171,5.17,37.26,Low
88,120,183,4.55,55.26,Low
46,65,13,6.98,29.83,Medium
31,19,155,6.12,51.42,Low
105,135,16,5.76,35.01,Low
77,106,120,8.44,63.11,Medium
26,58,92,6.36,14.24,Medium
21,18,66,7.5,74.26,Medium
127,40,108,5.21,22.01,Low
31,109,77,4.55,21.1,Low
129,86,81,6.17,68.85,High
59,71,44,7.16,70.85,High
23,14,186,6.53,16.51,Low
38,53,139,8.06,73.61,Low
134,115,21,6.24,29.13,Low
16,69,123,5.74,53.3,Medium
38,61,130,8.16,14.8,Low
42,31,182,6.13,36.65,High
120,117,28,5.58,41.55,Low
88,137,6,4.89,51.99,Low
67,75,96,7.67,46.77,High
35,87,165,7.8,42.3,Low
38,61,153,4.63,77.17,Low
13,124,121,5.93,22.95,Low
108,97,57,7.5,21.06,Low
48,19,50,8.29,59.94,Medium
24,115,49,6.01,15.22,Low
128,105,13,7.99,43.8,Low
38,123,10,6.07,43.88,Low
84,80,55,5.22,31.7,High
125,24,123,4.51,75.13,Low
41,135,39,5.82,29.78,Medium
139,77,86,6.01,30.19,High
93,126,185,8.28,26.4,Low
31,45,151,5.32,20.21,Low
36,134,201,6.03,35.48,Low
90,27,29,4.6,57.66,Low
135,27,143,7.55,61.95,Low
101,13,21,8.16,66.94,Low
30,17,40,5.45,23.83,Low
56,55,100,6.22,12.49,High
110,68,25,4.99,78.23,Low
93,56,22,6.33,11.0,Medium
15,42,192,5.03,77.25,Low
10,104,150,6.59,68.02,Low
67,55,5,7.44,73.85,High
133,141,146,6.71,37.1,Low
24,59,140,5.48,23.8,Low
73,113,198,5.92,52.45,Medium
34,48,55,7.05,61.89,High
33,114,83,6.86,19.16,Low
21,132,192,5.05,65.83,Low
27,109,166,7.88,24.6,Low
24,14,40,6.4,44.42,Medium
36,104,66,5.15,69.95,Low
81,113,133,4.99,23.54,Low
69,112,89,8.36,26.93,Low
102,144,46,5.63,14.39,Low
62,98,5,8.13,20.26,Low
17,67,58,6.14,20.26,Medium
88,88,179,6.04,24.24,Medium
36,29,104,7.3,30.03,Medium
59,16,43,4.54,67.05,Medium
102,29,162,5.85,74.1,Low
33,15,11,5.71,38.44,Low
69,68,154,7.97,18.97,Low
131,130,125,6.62,25.67,Low
55,54,182,5.96,61.53,High
24,93,49,5.56,57.42,Medium
26,103,78,6.86,77.7,Medium
135,120,124,5.11,11.01,Low
93,100,76,5.48,62.55,Medium
18,18,142,5.67,45.41,Low
72,5,146,6.93,73.19,Medium
126,29,50,5.99,50.33,Medium
139,76,127,6.52,41.27,Medium
97,73,122,7.1,56.61,High
81,137,79,8.33,68.35,Medium
73,109,10,7.56,29.77,Low
81,27,25,6.12,17.53,Low
30,13,194,7.49,40.31,Low
27,122,151,8.3,25.02,Low
73,98,107,6.5,40.07,High
91,37,92,6.14,79.37,High
119,134,103,4.81,50.19,Low
104,18,66,8.07,58.55,Low
41,5,111,5.49,57.45,Medium
20,94,87,4.76,67.45,Low
54,93,185,6.65,76.09,Medium
42,94,156,7.88,56.12,Low
111,18,60,6.13,43.33,Medium
20,115,194,7.63,32.25,Low
97,87,166,7.85,35.22,Medium
50,76,26,6.32,33.41,High
85,134,72,6.86,32.71,High
130,31,189,6.64,58.62,Medium
55,78,14,8.26,51.14,Medium
89,103,70,7.4,24.14,Medium
63,76,12,8.2,77.87,Medium
95,27,127,5.38,39.94,Low
101,72,42,5.74,49.63,High
106,121,127,4.78,59.18,Low
11,110,66,6.5,52.96,Medium
42,97,160,8.0,31.77,Low
86,69,142,5.81,65.84,High
125,72,49,5.01,17.71,Low
112,132,69,4.77,49.83,Low
112,67,71,6.29,29.13,Medium
99,117,141,5.16,53.1,Low
131,94,137,5.88,25.26,Low
115,85,110,7.78,64.05,Medium
128,107,142,6.04,25.93,Low
58,120,144,6.94,72.33,Medium
113,17,86,6.51,70.31,Medium
70,128,62,7.37,35.37,High
132,92,153,5.12,37.01,Low
18,15,153,8.18,59.11,Low
15,19,197,7.07,16.33,Low
82,14,135,5.58,15.66,Low
112,45,73,4.99,19.54,Low
50,77,93,5.1,49.37,High
123,56,68,7.63,20.43,Low
17,132,181,6.85,29.43,Low
81,32,76,6.02,55.28,High
101,69,21,5.83,11.09,Low
71,21,77,7.92,22.62,Low
93,99,164,8.0,75.1,Low
71,142,74,6.83,56.45,High
120,67,117,6.6,31.39,High
136,42,25,7.77,13.17,Low
16,74,139,7.5,51.02,Medium
93,108,11,6.1,25.6,Low
67,57,115,4.83,77.21,High
31,123,31,7.57,58.09,Low
136,78,12,5.17,78.19,Low
12,58,32,4.57,69.42,Medium
136,24,198,7.87,43.81,Low
50,83,203,6.81,56.87,High
115,35,51,8.07,66.85,Medium
23,139,90,6.44,50.47,Medium
21,62,14,8.21,14.3,Low
96,109,118,5.92,42.93,High
21,14,37,7.4,19.14,Low
34,14,139,5.7,60.04,Low
54,43,135,4.5,57.64,Medium
131,41,18,6.02,79.5,Medium
64,123,176,7.45,54.02,Medium
109,71,50,5.1,66.01,Medium
128,47,65,6.52,28.78,Medium
62,56,168,5.35,33.8,Medium
41,105,17,4.8,74.19,Low
60,60,20,6.97,62.86,High
53,80,137,8.31,55.87,Medium
91,72,42,5.74,27.78,High
46,141,182,6.82,58.9,Medium
105,110,42,8.31,72.07,Low
65,129,107,7.1,26.16,Medium
114,96,60,7.19,59.43,Medium
68,27,67,5.22,37.56,Medium
44,113,124,6.47,18.31,Low
102,65,52,5.97,63.44,High
106,48,109,6.38,21.7,Medium
85,20,63,7.7,27.7,Low
58,26,81,6.34,64.81,High
103,61,176,4.75,61.95,Low
33,66,131,8.12,27.79,Low
46,111,59,6.68,75.87,High
13,75,59,8.2,25.07,Low
117,94,133,6.79,79.55,Low
135,76,140,4.78,61.65,Low
29,74,131,6.71,37.48,Medium
59,34,136,6.8,19.12,Medium
105,107,89,5.36,32.44,Low
114,36,119,6.38,23.56,Medium
126,90,185,6.34,53.53,Medium
107,61,62,6.99,34.98,High
75,113,41,5.54,30.65,High
88,13,53,6.83,63.0,High
15,35,71,5.46,26.14,Low
48,75,23,6.29,51.08,High
124,141,133,4.99,23.62,Low
134,17,33,4.65,60.04,Low
21,135,91,5.78,53.76,Medium
27,39,37,5.6,65.87,High
49,25,123,6.13,14.79,Low
30,68,184,8.35,24.71,Low
108,99,173,6.59,20.81,Low
35,38,155,6.71,23.34,Low
17,125,137,8.27,17.21,Low
109,19,75,8.18,49.35,Low
96,124,189,8.04,51.54,Low
51,100,138,4.89,69.04,Low
23,10,181,7.04,39.24,Low
87,113,26,7.73,47.27,Low
11,101,81,7.84,79.39,Low
128,36,8,6.81,47.23,Medium
46,87,76,4.57,50.15,High
78,122,196,8.39,79.71,Low
50,83,169,6.39,79.59,High
71,82,163,6.07,39.68,High
69,111,169,6.08,54.45,Medium
134,130,132,6.2,43.66,Low
120,19,49,5.47,60.45,Low
23,138,140,5.81,75.69,Low
93,77,172,8.44,31.68,Medium
139,105,97,5.97,67.32,Medium
79,102,9,6.61,55.84,Medium
132,30,160,7.89,29.61,Low
98,96,108,6.61,65.81,High
37,129,85,5.8,39.9,Medium
75,77,91,6.6,18.43,High
14,127,141,4.96,79.54,Low
54,57,134,5.02,39.8,Medium
56,82,67,7.28,47.91,High
40,96,55,8.17,66.56,Medium
19,92,120,7.4,77.26,Medium
127,17,117,4.8,71.1,Low
23,47,35,6.11,46.75,High
89,80,11,4.51,48.2,Medium
102,55,162,6.54,29.66,Low
19,23,190,5.27,42.4,Low
85,126,7,7.97,76.28,Low
103,28,55,4.92,60.89,Low
114,30,60,4.51,10.83,Low
10,124,77,6.3,18.16,Low
29,86,14,5.12,74.67,Low
17,104,65,7.45,69.41,Medium
10,21,54,8.18,44.03,Low
66,72,126,4.67,53.19,Medium
73,48,179,6.08,30.28,High
127,65,5,8.49,65.5,Low
37,127,189,7.43,52.23,Low
130,97,42,8.31,58.64,Low
116,78,194,5.16,36.24,Low
58,71,83,5.39,40.13,High
129,115,93,5.12,24.54,Low
53,6,202,5.71,76.36,Medium
65,93,86,7.4,76.26,High
120,30,197,5.16,67.24,Low
117,103,194,6.6,75.49,Low
123,31,188,5.58,56.57,Medium
87,93,71,7.82,26.43,Low
139,5,21,4.53,63.21,Low
46,107,131,5.39,32.77,Low
29,135,116,6.92,40.83,Medium
35,45,140,4.89,29.2,Low
38,55,64,6.37,39.65,High
10,19,44,6.24,57.55,Medium
128,12,93,7.91,17.74,Low
44,42,194,7.0,17.36,Medium
68,118,45,7.06,57.86,High
78,87,144,8.31,64.57,Medium
21,60,119,8.43,48.6,Medium
29,107,104,7.11,22.71,Low
52,142,121,6.59,40.15,Medium
135,106,186,6.93,63.07,Low
59,82,93,6.03,58.0,High
38,87,97,8.45,17.69,Low
48,34,143,7.32,77.84,High
47,9,64,5.66,25.64,Medium
93,123,72,4.73,25.43,Low
137,35,82,4.68,42.19,Medium
135,27,50,5.32,32.91,Low
54,52,42,5.43,78.88,High
61,113,193,6.16,15.35,Low
89,44,21,5.36,31.45,Medium
133,10,70,7.02,36.79,Medium
128,42,204,5.35,44.54,Low
17,104,40,5.25,11.15,Low
94,31,78,6.38,15.77,High
138,73,11,8.05,28.05,Low
17,61,20,6.37,48.78,Medium
105,21,18,6.16,63.74,Low
111,75,84,6.81,58.05,High
14,51,29,5.53,49.69,Medium
95,83,109,5.91,37.81,High
43,114,8,5.36,70.95,Low
64,17,161,6.79,42.18,Medium
128,143,131,7.29,30.95,Low
123,128,60,7.19,54.05,Medium
35,113,10,5.52,58.45,Low
56,94,133,7.62,37.89,Low
122,90,171,5.52,11.97,Low
85,96,133,5.1,16.59,Low
81,28,119,5.9,69.19,High
98,77,195,6.89,13.96,Medium
55,8,61,5.07,51.44,Medium
42,117,199,7.09,22.86,Low
10,50,69,7.95,26.02,Low
40,22,69,5.67,29.13,Medium
62,47,107,6.3,12.68,High
57,97,25,5.41,22.41,Low
78,107,162,5.95,55.53,Medium
114,128,37,4.59,44.91,Low
99,14,180,8.32,65.81,Low
72,77,26,6.16,14.29,Medium
82,35,186,7.66,72.22,Medium
98,64,114,5.07,79.75,High
22,135,8,7.75,11.1,Low
82,122,187,7.94,77.73,Low
86,18,176,7.36,26.51,Low
77,6,144,8.11,58.48,Low
107,28,78,5.17,30.47,Low
134,68,123,6.41,46.53,Medium
111,104,184,6.98,45.73,Low
111,118,97,6.88,35.28,Medium
28,28,69,7.94,60.23,Low
91,95,69,5.36,51.97,Medium
32,30,14,5.2,45.58,Low
92,69,150,5.51,78.8,High
118,124,51,8.07,75.8,Low
84,8,70,8.26,76.88,Medium
138,5,53,6.78,71.69,Medium
97,54,204,6.51,27.86,Medium
63,114,26,6.92,34.5,Medium
98,143,90,6.97,26.17,Medium
74,78,30,5.18,79.03,High
85,66,141,7.25,20.69,Medium
69,85,153,6.31,35.66,High
102,60,99,6.57,23.93,Medium
58,115,195,4.62,25.64,Low
44,25,111,7.56,27.3,Low
111,13,138,7.84,54.78,Low
20,143,18,6.98,15.32,Low
108,74,165,7.49,50.08,Medium
119,133,75,6.59,67.35,Medium
83,122,156,6.97,63.66,Medium
18,60,79,6.08,20.58,Medium
12,35,124,7.67,74.03,Low
94,41,116,6.37,63.91,High
35,95,55,7.22,10.37,Low
81,118,134,6.99,61.62,Medium
57,132,147,7.31,61.62,Medium
126,126,167,7.64,44.78,Low
21,73,40,6.55,13.22,Medium
57,40,122,7.75,50.59,Medium
46,36,171,6.49,63.6,High
53,68,8,8.33,28.96,Low
24,52,196,7.51,56.69,Low
52,85,10,5.18,34.77,Medium
96,64,189,7.82,50.17,Medium
79,5,162,6.71,36.92,Medium
55,69,114,8.44,31.26,High
117,37,103,7.38,69.91,High
132,42,126,4.84,62.77,Low
30,29,121,6.08,34.18,Low
116,63,100,6.57,40.42,High
89,105,71,7.86,58.42,Medium
56,131,124,7.42,66.78,Medium
126,45,19,5.98,57.9,Medium
133,61,21,7.11,47.87,Medium
34,52,22,6.81,76.81,Medium
45,76,119,5.0,64.19,High
60,60,151,5.44,18.09,Low
24,69,80,5.86,49.07,High
77,16,92,5.28,38.67,Medium
30,73,201,5.1,65.65,Low
28,138,156,4.73,13.13,Low
43,93,95,7.99,38.75,Medium
87,29,52,5.66,32.28,High
134,5,162,5.66,19.88,Low
126,135,19,5.32,36.52,Low
61,53,179,6.4,57.1,High
36,64,127,6.56,35.32,Medium
44,6,131,5.33,50.6,Low
115,77,176,6.93,51.5,Medium
11,114,102,7.39,51.1,Medium
86,65,159,6.0,47.07,High
99,21,88,6.84,18.19,Medium
98,53,196,6.51,25.29,Medium
103,80,45,5.28,66.0,Medium
16,135,100,7.42,45.17,Medium
104,47,72,7.71,59.43,Medium
117,61,9,7.1,49.89,Medium
83,54,57,5.8,12.71,High
48,41,126,8.21,65.73,Medium
80,50,140,6.32,14.5,Medium
65,19,26,5.56,76.02,Medium
51,84,110,6.13,25.08,High
45,143,11,7.27,45.87,Medium
93,28,154,7.88,14.45,Low
127,129,50,5.93,72.65,Medium
16,122,34,5.43,78.6,Low
63,84,130,7.01,20.24,Medium
138,98,105,8.18,30.71,Low
129,69,148,5.23,11.11,Low
115,92,83,7.71,65.09,Low
56,92,137,6.41,31.8,Medium
132,130,71,7.7,51.22,Low
128,93,27,6.52,12.75,Low
127,65,193,6.01,60.08,Medium
30,19,78,7.29,47.06,Medium
35,98,9,8.1,60.75,Low
18,55,155,5.78,65.27,Medium
24,31,86,6.34,16.25,Medium
19,78,29,5.42,50.47,Low
131,65,12,5.23,55.5,Low
130,35,153,7.61,46.17,Low
134,16,6,5.3,22.77,Low
81,50,26,7.67,65.69,Medium
58,36,76,6.22,79.82,High
100,65,91,8.48,77.85,High
46,50,76,5.29,64.43,High
77,89,72,4.87,39.27,High
59,84,68,4.8,33.61,High
28,139,98,7.84,14.8,Low
109,8,23,6.25,39.14,Low
69,56,132,4.51,20.92,Low
98,116,91,8.0,27.8,Low
78,40,86,8.01,72.43,High
58,58,185,7.73,77.8,Medium
117,123,91,5.49,76.4,Low
128,131,101,5.99,23.53,Low
46,21,56,7.48,73.06,High
20,79,179,6.46,19.91,Low
87,109,86,5.12,45.54,Medium
86,121,186,5.47,55.06,Low
11,47,176,8.39,42.37,Low
73,116,101,5.1,76.63,Medium
44,119,139,7.4,33.32,Medium
16,31,119,6.41,46.92,High
94,41,96,7.49,15.28,High
76,50,5,7.14,69.66,High
51,117,67,6.26,38.94,High
127,39,171,5.92,59.04,Medium
134,136,23,7.52,57.76,Low
33,84,35,5.79,57.34,High
55,84,81,7.65,45.49,High
28,125,125,7.22,29.43,Low
77,126,28,6.81,53.76,Medium
111,85,73,5.98,77.33,High
51,123,197,5.32,68.38,Low
41,62,165,7.34,17.61,Medium
118,67,63,4.87,11.62,Low
45,104,118,8.38,44.93,Medium
106,70,165,8.41,64.31,Low
82,89,164,5.02,31.97,Medium
106,141,191,4.92,59.09,Low
132,127,105,6.15,75.23,Medium
79,6,173,8.35,42.13,Low
22,110,16,6.1,27.09,Low
